	TF BTL Small Studio-L		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-10.30	-57.60	0.47
2.929688	-6.77	-171.92	0.55
4.394531	-1.78	145.79	0.90
5.859375	-0.42	139.38	0.90
7.324219	0.03	87.84	0.89
8.789062	0.96	80.94	0.95
10.253906	2.26	60.51	0.96
11.718750	1.92	47.60	0.98
13.183594	1.12	39.00	0.99
14.648438	0.31	33.78	0.99
16.113281	-0.14	34.30	1.00
17.578125	-0.40	37.36	0.99
19.042969	-0.32	41.93	0.99
20.507812	0.08	47.38	0.96
21.972656	1.05	49.63	0.97
23.437500	2.29	49.54	1.00
24.902344	3.78	47.30	0.98
26.367188	5.41	40.97	0.97
27.832031	6.90	31.19	0.98
29.296875	7.83	20.85	0.99
30.761719	8.12	10.58	0.99
32.226562	7.81	0.50	0.99
33.691406	7.02	-8.27	0.99
35.156250	6.00	-14.69	0.99
36.621094	4.99	-18.47	1.00
38.085938	4.21	-19.77	1.00
39.550781	3.77	-19.31	0.99
41.015625	3.69	-18.23	0.99
42.480469	3.94	-17.87	1.00
43.945312	4.41	-18.95	0.99
45.410156	4.95	-21.52	1.00
46.875000	5.47	-25.34	1.00
48.339844	5.93	-30.13	1.00
49.804688	6.33	-35.77	1.00
51.269531	6.61	-42.31	1.00
52.734375	6.68	-49.66	0.99
54.199219	6.46	-57.54	0.99
55.664062	5.88	-65.50	0.98
57.128906	4.90	-73.18	0.98
58.593750	3.58	-80.05	0.96
60.058594	2.06	-85.44	0.96
61.523438	0.55	-88.35	0.90
62.988281	-0.75	-87.73	0.80
64.453125	-1.67	-83.27	0.39
65.917969	-2.19	-76.62	0.94
67.382812	-2.42	-70.99	0.97
68.847656	-2.55	-68.45	0.97
70.312500	-2.73	-69.02	0.97
71.777344	-3.05	-71.70	0.99
73.242188	-3.55	-75.52	0.95
74.707031	-4.20	-79.69	0.94
76.171875	-4.91	-83.36	0.92
77.636719	-5.54	-85.47	0.92
79.101562	-5.99	-83.52	0.85
80.566406	-6.15	-65.80	0.86
82.031250	-5.99	4.69	0.60
83.496094	-5.54	35.21	0.83
84.960938	-4.85	39.62	0.90
86.425781	-4.00	38.32	0.90
87.890625	-3.09	34.98	0.98
89.355469	-2.17	30.68	0.98
90.820312	-1.31	25.87	0.99
92.285156	-0.54	20.77	0.99
93.750000	0.10	15.54	0.99
95.214844	0.61	10.28	0.99
96.679688	0.96	5.08	0.99
98.144531	1.17	0.05	0.99
99.609375	1.24	-4.71	0.99
101.074219	1.18	-9.15	1.00
102.539062	1.02	-13.20	1.00
104.003906	0.77	-16.85	1.00
105.468750	0.44	-20.06	1.00
106.933594	0.06	-22.79	1.00
108.398438	-0.37	-25.00	1.00
109.863281	-0.83	-26.60	1.00
111.328125	-1.29	-27.50	0.99
112.792969	-1.75	-27.55	0.99
114.257812	-2.16	-26.64	0.98
115.722656	-2.51	-24.72	0.99
117.187500	-2.75	-21.84	0.98
118.652344	-2.87	-18.27	0.86
120.117188	-2.85	-14.41	0.27
121.582031	-2.69	-10.74	0.87
123.046875	-2.40	-7.66	0.98
124.511719	-1.99	-5.40	0.99
125.976562	-1.51	-4.03	0.98
127.441406	-0.96	-3.50	0.99
128.906250	-0.37	-3.70	1.00
130.371094	0.23	-4.49	1.00
131.835938	0.83	-5.77	1.00
133.300781	1.42	-7.42	1.00
134.765625	1.97	-9.36	1.00
136.230469	2.48	-11.52	1.00
137.695312	2.94	-13.84	1.00
139.160156	3.34	-16.26	1.00
140.625000	3.68	-18.73	1.00
143.554688	3.95	-21.20	0.99
146.484375	4.46	-26.47	0.99
149.414062	4.79	-31.46	0.99
152.343750	5.01	-36.07	0.99
155.273438	5.16	-40.31	1.00
158.203125	5.29	-44.32	1.00
161.132812	5.41	-48.27	1.00
164.062500	5.52	-52.29	1.00
166.992188	5.59	-56.47	1.00
169.921875	5.60	-60.79	1.00
172.851562	5.53	-65.16	0.99
175.781250	5.39	-69.47	1.00
178.710938	5.18	-73.58	0.99
181.640625	4.91	-77.40	0.99
184.570312	4.59	-80.88	1.00
187.500000	4.25	-84.00	1.00
190.429688	3.91	-86.80	1.00
193.359375	3.55	-89.28	1.00
196.289062	3.21	-91.46	1.00
199.218750	2.87	-93.35	1.00
202.148438	2.56	-94.94	1.00
205.078125	2.27	-96.26	1.00
208.007812	2.01	-97.33	1.00
210.937500	1.79	-98.20	1.00
213.867188	1.62	-98.93	1.00
216.796875	1.50	-99.60	1.00
219.726562	1.41	-100.27	1.00
222.656250	1.37	-101.01	1.00
225.585938	1.35	-101.86	1.00
228.515625	1.36	-102.85	1.00
231.445312	1.38	-103.98	1.00
234.375000	1.41	-105.26	1.00
237.304688	1.45	-106.68	1.00
240.234375	1.49	-108.24	1.00
243.164062	1.52	-109.91	1.00
246.093750	1.54	-111.70	1.00
249.023438	1.55	-113.56	1.00
251.953125	1.55	-115.49	0.99
254.882812	1.55	-117.47	1.00
257.812500	1.54	-119.52	0.99
260.742188	1.52	-121.62	0.99
263.671875	1.48	-123.77	0.99
266.601562	1.43	-125.96	0.99
269.531250	1.35	-128.13	0.99
272.460938	1.26	-130.26	0.99
275.390625	1.15	-132.27	0.99
278.320312	1.04	-134.11	1.00
281.250000	0.93	-135.77	0.99
287.109375	0.84	-137.24	0.95
292.968750	0.69	-140.22	0.91
298.828125	0.66	-143.01	0.92
304.687500	0.76	-146.06	0.98
310.546875	0.92	-149.62	0.99
316.406250	1.11	-153.77	0.99
322.265625	1.29	-158.48	0.99
328.125000	1.42	-163.66	0.99
333.984375	1.47	-169.16	1.00
339.843750	1.42	-174.84	0.99
345.703125	1.26	179.51	0.99
351.562500	1.00	174.18	0.98
357.421875	0.65	169.57	0.98
363.281250	0.26	166.24	0.93
369.140625	-0.12	165.03	0.90
375.000000	-0.44	167.01	0.91
380.859375	-0.64	173.39	0.96
386.718750	-0.68	-175.77	0.96
392.578125	-0.58	-163.53	0.91
398.437500	-0.34	-154.33	0.93
404.296875	-0.01	-149.74	0.96
410.156250	0.39	-148.87	0.98
416.015625	0.81	-150.48	0.98
421.875000	1.23	-153.63	0.98
427.734375	1.65	-157.74	0.97
433.593750	2.05	-162.44	0.99
439.453125	2.42	-167.53	0.99
445.312500	2.78	-172.89	1.00
451.171875	3.10	-178.46	0.98
457.031250	3.39	175.82	0.98
462.890625	3.62	170.02	0.98
468.750000	3.80	164.19	1.00
474.609375	3.92	158.40	0.99
480.468750	3.98	152.70	0.99
486.328125	3.99	147.11	1.00
492.187500	3.95	141.65	1.00
498.046875	3.87	136.36	0.99
503.906250	3.74	131.22	1.00
509.765625	3.57	126.27	1.00
515.625000	3.37	121.51	0.99
521.484375	3.13	116.97	0.99
527.343750	2.87	112.65	0.99
533.203125	2.59	108.59	0.97
539.062500	2.30	104.83	0.98
544.921875	2.01	101.40	0.99
550.781250	1.74	98.31	1.00
556.640625	1.50	95.58	0.99
562.500000	1.29	93.18	0.98
574.218750	1.13	91.08	0.88
585.937500	0.89	86.75	0.81
597.656250	0.85	82.58	0.90
609.375000	0.97	78.13	0.94
621.093750	1.17	73.19	0.96
632.812500	1.39	67.83	0.98
644.531250	1.60	62.16	0.99
656.250000	1.77	56.29	0.97
667.968750	1.89	50.27	0.93
679.687500	1.96	44.17	0.94
691.406250	1.97	38.04	0.98
703.125000	1.91	32.02	0.99
714.843750	1.78	26.27	0.99
726.562500	1.58	20.94	1.00
738.281250	1.34	16.18	0.99
750.000000	1.06	12.10	0.93
761.718750	0.78	8.73	0.75
773.437500	0.53	5.96	0.15
785.156250	0.32	3.56	0.87
796.875000	0.17	1.28	0.92
808.593750	0.07	-1.04	0.90
820.312500	-0.00	-3.46	0.92
832.031250	-0.04	-5.95	0.97
843.750000	-0.07	-8.45	0.99
855.468750	-0.07	-10.85	0.96
867.187500	-0.05	-13.10	0.92
878.906250	-0.00	-15.20	0.59
890.625000	0.08	-17.24	0.56
902.343750	0.21	-19.40	0.95
914.062500	0.36	-21.78	0.94
925.781250	0.53	-24.48	0.92
937.500000	0.70	-27.49	0.81
949.218750	0.85	-30.78	0.95
960.937500	0.97	-34.30	0.96
972.656250	1.05	-37.94	0.98
984.375000	1.08	-41.59	0.99
